gene,inMod
ENSDARG00000090091,0
ENSDARG00000100257,0
ENSDARG00000094443,0
ENSDARG00000098707,0
ENSDARG00000101382,0
ENSDARG00000095198,0
ENSDARG00000091502,0
ENSDARG00000102016,0
ENSDARG00000102439,0
ENSDARG00000076255,0
ENSDARG00000088915,0
ENSDARG00000094572,0
ENSDARG00000096026,0
ENSDARG00000094653,0
ENSDARG00000078728,0
ENSDARG00000086615,0
ENSDARG00000095605,0
ENSDARG00000090734,0
ENSDARG00000102065,0
ENSDARG00000100213,0
ENSDARG00000092475,0
ENSDARG00000104794,0
ENSDARG00000101524,0
ENSDARG00000103138,0
ENSDARG00000104416,0
ENSDARG00000103003,0
ENSDARG00000090400,0
ENSDARG00000093803,0
ENSDARG00000095126,0
ENSDARG00000099242,0
ENSDARG00000102673,0
ENSDARG00000100421,0
ENSDARG00000100335,0
ENSDARG00000104006,0
ENSDARG00000098196,0
ENSDARG00000098094,0
ENSDARG00000104136,0
ENSDARG00000101539,0
ENSDARG00000098265,0
ENSDARG00000103705,0
ENSDARG00000102062,0
ENSDARG00000103527,0
ENSDARG00000104026,0
ENSDARG00000103250,0
ENSDARG00000102074,0
ENSDARG00000102268,0
ENSDARG00000098794,0
ENSDARG00000100110,0
ENSDARG00000100460,0
ENSDARG00000105119,0
ENSDARG00000103047,0
ENSDARG00000102999,0
ENSDARG00000102262,0
ENSDARG00000101843,0
ENSDARG00000099952,0
ENSDARG00000088847,0
ENSDARG00000098892,0
ENSDARG00000104887,0
ENSDARG00000100262,0
ENSDARG00000099400,0
ENSDARG00000099277,0
ENSDARG00000105217,0
ENSDARG00000100370,0
ENSDARG00000104088,0
ENSDARG00000098126,0
ENSDARG00000098991,0
ENSDARG00000099929,0
ENSDARG00000102163,0
ENSDARG00000101544,0
ENSDARG00000094413,0
ENSDARG00000102133,0
ENSDARG00000100859,0
ENSDARG00000102691,0
ENSDARG00000099048,0
ENSDARG00000100001,0
ENSDARG00000099760,0
ENSDARG00000100271,0
ENSDARG00000104062,0
ENSDARG00000103547,0
ENSDARG00000098062,0
ENSDARG00000099963,0
ENSDARG00000101751,0
ENSDARG00000100543,0
ENSDARG00000100485,0
ENSDARG00000101147,0
ENSDARG00000105067,0
ENSDARG00000098083,0
ENSDARG00000101274,0
ENSDARG00000098192,0
ENSDARG00000104502,0
ENSDARG00000103723,0
ENSDARG00000099855,0
ENSDARG00000099403,0
ENSDARG00000102819,0
