kegg	gene
dre00310	664754
dre00310	751629
dre00310	768131
dre00310	768133
dre00310	777635
dre00310	793834
dre00310	794199
dre00310	796749
dre00310	797296
dre00310	797715
dre00330	100000026
dre00330	100003675
dre00330	100005587
dre00330	100149838
dre00330	100333321
dre00330	100537991
dre00330	103908621
dre00330	114426
dre00330	140744
dre00330	266799
dre00330	30095
dre00330	321892
dre00330	322614
dre00330	323653
dre00330	327288
dre00330	327506
dre00330	334197
dre00330	335974
dre00330	368239
dre00330	373132
dre00330	387290
dre00330	393462
dre00330	393799
dre00330	394009
dre00330	394133
dre00330	399481
dre00330	402994
dre00330	404036
dre00330	404730
dre00330	405800
dre00330	405806
dre00330	406330
dre00330	406688
dre00330	431716
dre00330	436664
dre00330	436827
dre00330	447920
dre00330	492710
dre00330	555401
dre00330	556522
dre00330	557186
dre00330	558050
dre00330	560682
dre00330	562774
dre00330	562854
dre00330	563281
dre00330	563654
dre00330	564675
dre00330	565385
dre00330	565700
dre00330	565785
dre00330	570368
dre00330	572518
dre00330	60658
dre00330	619259
dre00330	792097
dre00330	796865
dre00330	799492
dre00330	80872
dre00340	100000026
dre00340	100004331
dre00340	100005587
dre00340	282559
dre00340	323653
dre00340	327288
dre00340	334197
dre00340	368239
dre00340	393462
dre00340	394052
dre00340	399481
dre00340	402826
dre00340	404730
dre00340	406651
dre00340	445242
dre00340	447920
dre00340	492710
dre00340	503765
dre00340	555401
dre00340	556744
dre00340	557008
dre00340	557232
dre00340	558050
dre00340	751785
dre00340	793609
dre00350	100331172
dre00350	100332609
dre00350	100333145
dre00350	116517
dre00350	259189
dre00350	282559
dre00350	30207
dre00350	30384
dre00350	30505
dre00350	322372
dre00350	335974
dre00350	337166
dre00350	394142
dre00350	404730
dre00350	406330
dre00350	406651
dre00350	406688
dre00350	436754
dre00350	437022
dre00350	445287
dre00350	541429
dre00350	553762
dre00350	557008
dre00350	558050
dre00350	561372
dre00350	561410
dre00350	565370
dre00350	569363
dre00350	570457
dre00350	58074
dre00350	64265
dre00350	751093
dre00350	751785
dre00360	282559
dre00360	335974
dre00360	337166
dre00360	378962
dre00360	394142
dre00360	404730
dre00360	406330
dre00360	406651
dre00360	406688
dre00360	445287
dre00360	541429
dre00360	557008
dre00360	558050
dre00360	561410
dre00360	751093
dre00360	751785
dre00380	100000026
dre00380	100000859
dre00380	100005587
dre00380	100008541
dre00380	100141344
dre00380	100150054
dre00380	100332215
dre00380	100334830
dre00380	101885014
dre00380	140634
dre00380	30068
dre00380	30643
dre00380	30685
dre00380	323653
dre00380	334082
dre00380	334197
dre00380	337166
dre00380	352943
dre00380	368239
dre00380	368242
dre00380	368912
dre00380	393315
dre00380	393462
dre00380	393677
dre00380	393860
dre00380	399481
dre00380	404730
dre00380	406651
dre00380	407712
dre00380	415103
dre00380	445121
dre00380	445290
dre00380	447920
dre00380	450003
dre00380	492518
dre00380	492710
dre00380	550372
dre00380	553401
dre00380	555401
dre00380	557166
dre00380	557979
dre00380	558050
dre00380	559207
dre00380	564552
dre00380	570457
dre00380	571967
dre00380	64265
dre00380	791592
dre00380	793834
dre00380	797715
dre00400	335974
dre00400	337166
dre00400	378962
dre00400	406330
dre00400	406688
dre00400	561410
dre00410	100000026
dre00410	100000859
dre00410	100005587
dre00410	100037349
dre00410	100038790
dre00410	100144569
dre00410	100329827
dre00410	282559
dre00410	322660
dre00410	323653
dre00410	327288
dre00410	334197
dre00410	368239
dre00410	368912
dre00410	378441
dre00410	378968
dre00410	387290
dre00410	393462
dre00410	394009
dre00410	399481
dre00410	405829
dre00410	406283
dre00410	436647
dre00410	447920
dre00410	492710
dre00410	541429
dre00410	550403
dre00410	553401
dre00410	557008
dre00410	564675
dre00410	751785
dre00410	793834
dre00410	798364
dre00410	80872
dre00430	100002145
dre00430	100038790
dre00430	100329827
dre00430	100333757
dre00430	101882295
dre00430	103909024
dre00430	108179208
dre00430	378441
dre00430	393387
dre00430	393714
dre00430	406474
dre00430	492476
dre00430	550403
dre00430	566746
dre00430	569014
dre00430	569734
dre00450	100332215
dre00450	103911967
dre00450	322055
dre00450	324947
dre00450	338183
dre00450	352924
dre00450	352933
dre00450	378847
dre00450	393123
dre00450	393315
dre00450	559488
dre00450	559537
dre00450	566565
dre00450	777719
dre00450	791592
dre00450	798259
dre00450	80939
dre00471	317737
dre00471	373092
dre00471	564147
dre00471	564746
dre00472	402994
dre00472	405800
dre00472	565385
dre00472	619259
dre00480	100002145
dre00480	100006589
dre00480	100124622
dre00480	100149204
dre00480	100151110
dre00480	100330864
dre00480	100333757
dre00480	100334384
dre00480	101882295
dre00480	108179208
dre00480	114426
dre00480	30733
dre00480	30740
dre00480	322533
dre00480	324366
dre00480	324900
dre00480	326857
dre00480	333974
dre00480	352926
dre00480	352928
dre00480	352929
dre00480	386951
dre00480	393191
dre00480	393387
dre00480	393493
dre00480	393556
dre00480	394009
dre00480	406278
dre00480	406703
dre00480	406736
dre00480	406762
dre00480	431762
dre00480	436833
dre00480	436894
dre00480	449784
dre00480	450084
dre00480	492500
dre00480	552981
dre00480	553169
dre00480	553575
dre00480	555478
dre00480	562854
dre00480	563972
dre00480	564619
dre00480	566746
dre00480	567275
dre00480	568744
dre00480	569014
dre00480	569734
dre00480	570579
dre00480	571365
dre00480	723997
dre00480	767682
dre00480	79381
dre00480	798788
dre00480	799288
dre00480	80872
dre00500	100000750
dre00500	100002366
dre00500	100148922
dre00500	100332784
dre00500	100333665
dre00500	100536156
dre00500	100536353
dre00500	246094
dre00500	246095
dre00500	321224
dre00500	334420
dre00500	373082
dre00500	393400
dre00500	394000
dre00500	394155
dre00500	403051
dre00500	405822
dre00500	406339
dre00500	406539
dre00500	406791
dre00500	406831
dre00500	415152
dre00500	445118
